MZ	Intensity
-135.90961	697
-135.88802	685
-135.86627	682
-135.84434	629
-135.82226	491
-135.80001	127
-135.77759	78
-135.75501	47
-135.73226	0
-135.70935	0
-135.68627	0
-135.66303	0
-135.63962	158
-135.61604	503
-135.59230	1364
-135.56840	1955
-135.54433	1798
-135.52009	1062
-135.49569	1739
-135.47113	1376
-135.44639	1261
-135.42150	76
-135.39643	833
-135.37121	201
-135.34581	757
-135.32026	1454
-135.29453	2146
-135.26864	1846
-135.24259	1262
-135.21637	1734
-135.18999	1162
-135.16344	1103
-135.13672	399
-135.10984	1291
-135.08279	819
-135.05558	1041
-135.02821	108
-135.00066	77
-134.97296	3
-134.94508	11
-134.91705	214
-134.88884	902
-134.86047	1087
-134.83194	1046
-134.80324	919
-134.77438	673
-134.74535	700
-134.71615	294
-134.68679	246
-134.65726	15
-134.62757	65
-134.59772	57
-134.56769	324
-134.53751	329
-134.50715	565
-134.47664	653
-134.44595	845
-134.41510	983
-134.38409	1059
-134.35291	863
-134.32157	617
-134.29006	548
-134.25838	593
-134.22654	631
-134.19454	718
-134.16236	829
-134.13003	970
-134.09753	1102
-134.06486	1427
-134.03203	1765
-133.99903	1950
-133.96587	1944
-133.93254	1844
-133.89904	1686
-133.86538	1480
-133.83156	1102
-133.79757	766
-133.76342	318
-133.72910	60
-133.69461	0
-133.65996	0
-133.62514	0
-133.59016	0
-133.55501	0
-133.51970	10
-133.48422	117
-133.44858	201
-133.41277	232
-133.37680	171
-133.34066	102
-133.30435	70
-133.26789	68
-133.23125	76
-133.19445	69
-133.15748	87
-133.12035	102
-133.08306	221
-133.04560	455
-133.00797	711
-132.97018	953
-132.93222	1166
-132.89410	1363
-132.85581	1495
-132.81735	1562
-132.77874	1600
-132.73995	1593
-132.70100	1590
-132.66189	1573
-132.62261	1536
-132.58316	1496
-132.54355	1409
-132.50377	1307
-132.46383	1231
-132.42373	1174
-132.38345	1130
-132.34302	1056
-132.30241	982
-132.26165	900
-132.22071	772
-132.17961	669
-132.13835	556
-132.09692	440
-132.05532	343
-132.01356	240
-131.97164	168
-131.92955	112
-131.88729	82
-131.84487	68
-131.80228	76
-131.75953	110
-131.71661	152
-131.67353	229
-131.63028	281
-131.58687	352
-131.54329	396
-131.49955	473
-131.45564	520
-131.41156	577
-131.36732	646
-131.32292	703
-131.27835	752
-131.23361	810
-131.18871	890
-131.14364	977
-131.09841	1039
-131.05302	1110
-131.00745	1128
-130.96172	1176
-130.91583	1172
-130.86977	1165
-130.82355	1126
-130.77716	1057
-130.73061	1003
-130.68389	913
-130.63700	836
-130.58995	723
-130.54273	644
-130.49535	586
-130.44781	507
-130.40009	491
-130.35222	447
-130.30417	470
-130.25597	437
-130.20759	463
-130.15906	462
-130.11035	501
-130.06148	499
-130.01245	514
-129.96325	528
-129.91388	523
-129.86435	559
-129.81466	540
-129.76480	579
-129.71477	587
-129.66458	629
-129.61422	669
-129.56370	696
-129.51301	753
-129.46216	789
-129.41114	875
-129.35996	940
-129.30861	963
-129.25709	928
-129.20541	935
-129.15357	933
-129.10156	925
-129.04938	918
-128.99704	910
-128.94453	905
-128.89186	894
-128.83903	882
-128.78602	933
-128.73286	945
-128.67952	1005
-128.62602	947
-128.57236	960
-128.51853	881
-128.46454	863
-128.41038	779
-128.35605	753
-128.30156	702
-128.24691	693
-128.19209	662
-128.13710	625
-128.08195	652
-128.02663	600
-127.97115	638
-127.91550	619
-127.85969	636
-127.80371	666
-127.74757	679
-127.69126	718
-127.63478	713
-127.57815	736
-127.52134	721
-127.46437	724
-127.40724	691
-127.34993	699
-127.29247	671
-127.23484	642
-127.17704	632
-127.11908	619
-127.06095	614
-127.00266	591
-126.94420	602
-126.88558	590
-126.82679	591
-126.76783	585
-126.70871	575
-126.64943	602
-126.58998	573
-126.53036	587
-126.47058	563
-126.41064	591
-126.35053	587
-126.29025	597
-126.22981	616
-126.16920	621
-126.10843	641
-126.04749	661
-125.98639	690
-125.92512	703
-125.86368	718
-125.80208	755
-125.74032	758
-125.67839	783
-125.61630	779
-125.55403	799
-125.49161	794
-125.42902	812
-125.36626	816
-125.30334	819
-125.24025	837
-125.17700	833
-125.11358	844
-125.05000	849
-124.98625	844
-124.92234	864
-124.85826	840
-124.79401	845
-124.72960	816
-124.66503	812
-124.60029	796
-124.53538	773
-124.47031	764
-124.40507	713
-124.33967	719
-124.27410	684
-124.20837	682
-124.14247	646
-124.07641	650
-124.01018	615
-123.94379	625
-123.87723	613
-123.81051	602
-123.74362	606
-123.67656	590
-123.60934	596
-123.54196	593
-123.47440	596
-123.40669	593
-123.33881	575
-123.27076	602
-123.20255	610
-123.13417	618
-123.06563	612
