MZ	Intensity
-135.90961	684
-135.88802	690
-135.86627	695
-135.84434	627
-135.82226	516
-135.80001	120
-135.77759	90
-135.75501	58
-135.73226	0
-135.70935	0
-135.68627	0
-135.66303	0
-135.63962	130
-135.61604	528
-135.59230	1367
-135.56840	1982
-135.54433	1827
-135.52009	1112
-135.49569	1774
-135.47113	1374
-135.44639	1223
-135.42150	52
-135.39643	786
-135.37121	161
-135.34581	690
-135.32026	1430
-135.29453	2181
-135.26864	1897
-135.24259	1312
-135.21637	1792
-135.18999	1167
-135.16344	1132
-135.13672	378
-135.10984	1275
-135.08279	764
-135.05558	1017
-135.02821	92
-135.00066	87
-134.97296	1
-134.94508	16
-134.91705	239
-134.88884	939
-134.86047	1119
-134.83194	1049
-134.80324	899
-134.77438	654
-134.74535	652
-134.71615	292
-134.68679	202
-134.65726	7
-134.62757	51
-134.59772	85
-134.56769	366
-134.53751	396
-134.50715	645
-134.47664	703
-134.44595	893
-134.41510	976
-134.38409	1036
-134.35291	799
-134.32157	539
-134.29006	474
-134.25838	537
-134.22654	608
-134.19454	707
-134.16236	839
-134.13003	996
-134.09753	1144
-134.06486	1481
-134.03203	1796
-133.99903	1967
-133.96587	1948
-133.93254	1834
-133.89904	1663
-133.86538	1428
-133.83156	1068
-133.79757	713
-133.76342	312
-133.72910	61
-133.69461	0
-133.65996	0
-133.62514	0
-133.59016	0
-133.55501	0
-133.51970	15
-133.48422	121
-133.44858	169
-133.41277	209
-133.37680	118
-133.34066	71
-133.30435	55
-133.26789	64
-133.23125	75
-133.19445	69
-133.15748	95
-133.12035	127
-133.08306	261
-133.04560	469
-133.00797	721
-132.97018	946
-132.93222	1155
-132.89410	1354
-132.85581	1470
-132.81735	1544
-132.77874	1564
-132.73995	1594
-132.70100	1583
-132.66189	1566
-132.62261	1545
-132.58316	1491
-132.54355	1445
-132.50377	1314
-132.46383	1252
-132.42373	1168
-132.38345	1135
-132.34302	1075
-132.30241	975
-132.26165	903
-132.22071	764
-132.17961	673
-132.13835	537
-132.09692	440
-132.05532	308
-132.01356	237
