MZ	Intensity
-135.90961	664
-135.88802	630
-135.86627	643
-135.84434	584
-135.82226	429
-135.80001	94
-135.77759	49
-135.75501	18
-135.73226	0
-135.70935	0
-135.68627	0
-135.66303	0
-135.63962	132
-135.61604	494
-135.59230	1340
-135.56840	1937
-135.54433	1760
-135.52009	1046
-135.49569	1707
-135.47113	1307
-135.44639	1112
-135.42150	49
-135.39643	705
-135.37121	171
-135.34581	657
-135.32026	1414
-135.29453	2177
-135.26864	1920
-135.24259	1345
-135.21637	1777
-135.18999	1120
-135.16344	1025
-135.13672	299
-135.10984	1107
-135.08279	672
-135.05558	839
-135.02821	54
-135.00066	41
-134.97296	4
-134.94508	19
-134.91705	305
-134.88884	928
-134.86047	1138
-134.83194	1042
-134.80324	869
-134.77438	589
-134.74535	575
-134.71615	193
-134.68679	111
-134.65726	0
-134.62757	4
-134.59772	33
-134.56769	265
-134.53751	364
-134.50715	592
-134.47664	693
-134.44595	853
-134.41510	938
-134.38409	986
-134.35291	749
-134.32157	487
-134.29006	427
-134.25838	467
-134.22654	572
-134.19454	647
-134.16236	827
-134.13003	962
-134.09753	1114
-134.06486	1428
-134.03203	1757
-133.99903	1938
-133.96587	1892
-133.93254	1785
-133.89904	1597
-133.86538	1387
-133.83156	987
-133.79757	689
-133.76342	249
-133.72910	47
-133.69461	0
-133.65996	0
-133.62514	0
-133.59016	0
-133.55501	0
-133.51970	1
-133.48422	77
-133.44858	112
-133.41277	160
-133.37680	83
-133.34066	40
-133.30435	21
-133.26789	31
-133.23125	54
-133.19445	50
-133.15748	77
-133.12035	91
-133.08306	190
-133.04560	407
-133.00797	649
-132.97018	889
-132.93222	1087
-132.89410	1275
-132.85581	1405
-132.81735	1501
-132.77874	1537
-132.73995	1554
-132.70100	1537
-132.66189	1543
-132.62261	1495
-132.58316	1455
-132.54355	1351
-132.50377	1284
-132.46383	1175
-132.42373	1134
-132.38345	1063
-132.34302	1011
-132.30241	943
-132.26165	861
-132.22071	746
-132.17961	635
-132.13835	536
-132.09692	414
-132.05532	312
-132.01356	201
-131.97164	124
-131.92955	63
