MZ	Intensity
-135.90961	652
-135.88802	650
-135.86627	656
-135.84434	586
-135.82226	441
-135.80001	90
-135.77759	53
-135.75501	23
-135.73226	0
-135.70935	0
-135.68627	0
-135.66303	0
-135.63962	134
-135.61604	492
-135.59230	1380
-135.56840	1971
-135.54433	1767
-135.52009	1072
-135.49569	1750
-135.47113	1315
-135.44639	1083
-135.42150	51
-135.39643	681
-135.37121	130
-135.34581	665
-135.32026	1394
-135.29453	2221
-135.26864	1950
-135.24259	1363
-135.21637	1771
-135.18999	1160
-135.16344	1003
-135.13672	320
-135.10984	1108
-135.08279	664
-135.05558	850
-135.02821	62
-135.00066	69
-134.97296	0
-134.94508	30
-134.91705	329
-134.88884	968
-134.86047	1118
-134.83194	1040
-134.80324	836
-134.77438	574
-134.74535	568
-134.71615	168
-134.68679	96
-134.65726	2
-134.62757	11
-134.59772	35
-134.56769	320
-134.53751	380
-134.50715	636
-134.47664	715
-134.44595	889
-134.41510	934
-134.38409	973
-134.35291	709
-134.32157	430
-134.29006	394
-134.25838	454
-134.22654	553
-134.19454	667
-134.16236	827
-134.13003	991
-134.09753	1127
-134.06486	1464
-134.03203	1759
-133.99903	1948
-133.96587	1872
-133.93254	1763
-133.89904	1574
-133.86538	1350
-133.83156	985
-133.79757	664
-133.76342	283
-133.72910	50
-133.69461	0
-133.65996	0
-133.62514	0
-133.59016	0
-133.55501	0
-133.51970	4
-133.48422	48
-133.44858	115
-133.41277	135
-133.37680	69
-133.34066	34
-133.30435	8
-133.26789	28
-133.23125	47
-133.19445	70
-133.15748	72
-133.12035	104
-133.08306	201
-133.04560	429
-133.00797	649
-132.97018	875
-132.93222	1095
-132.89410	1267
-132.85581	1409
-132.81735	1488
-132.77874	1538
-132.73995	1556
-132.70100	1546
-132.66189	1534
-132.62261	1515
-132.58316	1467
-132.54355	1368
-132.50377	1275
-132.46383	1203
-132.42373	1123
-132.38345	1081
-132.34302	1011
-132.30241	950
-132.26165	853
-132.22071	746
-132.17961	642
-132.13835	525
-132.09692	411
-132.05532	297
-132.01356	202
-131.97164	130
-131.92955	72
-131.88729	47
-131.84487	33
-131.80228	33
-131.75953	63
-131.71661	119
-131.67353	185
-131.63028	236
-131.58687	308
-131.54329	358
-131.49955	418
-131.45564	485
-131.41156	530
-131.36732	593
-131.32292	624
-131.27835	703
-131.23361	745
-131.18871	822
-131.14364	883
-131.09841	989
-131.05302	1042
-131.00745	1081
-130.96172	1114
-130.91583	1129
-130.86977	1134
-130.82355	1094
-130.77716	1029
-130.73061	981
-130.68389	846
-130.63700	786
-130.58995	676
-130.54273	626
-130.49535	533
-130.44781	498
-130.40009	467
-130.35222	412
-130.30417	429
-130.25597	406
-130.20759	436
-130.15906	414
-130.11035	469
-130.06148	450
-130.01245	477
-129.96325	469
-129.91388	472
-129.86435	500
-129.81466	500
-129.76480	536
-129.71477	531
-129.66458	587
-129.61422	615
-129.56370	657
-129.51301	693
-129.46216	752
-129.41114	811
-129.35996	848
-129.30861	893
-129.25709	859
-129.20541	888
-129.15357	867
-129.10156	854
-129.04938	860
-128.99704	818
-128.94453	888
-128.89186	805
-128.83903	872
-128.78602	806
-128.73286	913
-128.67952	898
-128.62602	972
-128.57236	887
-128.51853	873
-128.46454	797
-128.41038	770
-128.35605	704
-128.30156	673
-128.24691	617
-128.19209	614
-128.13710	583
-128.08195	584
-128.02663	572
-127.97115	572
-127.91550	594
-127.85969	598
-127.80371	613
-127.74757	648
-127.69126	672
-127.63478	675
-127.57815	688
-127.52134	688
-127.46437	681
-127.40724	662
-127.34993	660
-127.29247	634
-127.23484	604
-127.17704	608
-127.11908	563
-127.06095	573
-127.00266	555
-126.94420	557
-126.88558	549
-126.82679	538
-126.76783	544
-126.70871	527
-126.64943	555
-126.58998	523
-126.53036	535
-126.47058	526
-126.41064	537
-126.35053	542
-126.29025	550
-126.22981	565
-126.16920	575
-126.10843	595
-126.04749	609
-125.98639	636
-125.92512	674
-125.86368	680
-125.80208	713
-125.74032	713
-125.67839	742
-125.61630	738
-125.55403	754
-125.49161	749
-125.42902	751
-125.36626	760
-125.30334	773
-125.24025	787
-125.17700	785
-125.11358	794
-125.05000	809
-124.98625	813
-124.92234	796
-124.85826	794
-124.79401	780
-124.72960	784
-124.66503	778
-124.60029	744
-124.53538	734
-124.47031	705
-124.40507	699
-124.33967	666
-124.27410	650
-124.20837	623
-124.14247	625
-124.07641	604
-124.01018	577
-123.94379	581
-123.87723	561
-123.81051	570
-123.74362	557
