MZ	Intensity
-135.90961	732
-135.88802	711
-135.86627	722
-135.84434	664
-135.82226	534
-135.80001	161
-135.77759	131
-135.75501	113
-135.73226	2
-135.70935	0
-135.68627	0
-135.66303	12
-135.63962	184
-135.61604	604
-135.59230	1457
-135.56840	2036
-135.54433	1860
-135.52009	1145
-135.49569	1817
-135.47113	1300
-135.44639	1122
-135.42150	23
-135.39643	753
-135.37121	125
-135.34581	752
-135.32026	1483
-135.29453	2342
-135.26864	2002
-135.24259	1483
-135.21637	1799
-135.18999	1192
-135.16344	1048
-135.13672	369
-135.10984	1215
-135.08279	769
-135.05558	983
-135.02821	166
-135.00066	200
-134.97296	19
-134.94508	148
-134.91705	420
-134.88884	1057
-134.86047	1178
-134.83194	1059
-134.80324	865
-134.77438	592
-134.74535	572
-134.71615	198
-134.68679	139
-134.65726	19
-134.62757	70
-134.59772	165
-134.56769	463
-134.53751	553
-134.50715	766
-134.47664	809
-134.44595	983
-134.41510	961
-134.38409	992
-134.35291	708
-134.32157	452
-134.29006	388
-134.25838	468
-134.22654	619
-134.19454	718
-134.16236	949
-134.13003	1083
-134.09753	1255
-134.06486	1555
-134.03203	1834
-133.99903	2007
-133.96587	1907
-133.93254	1842
-133.89904	1585
-133.86538	1416
-133.83156	1064
-133.79757	762
-133.76342	431
-133.72910	159
-133.69461	35
-133.65996	9
-133.62514	8
-133.59016	5
-133.55501	19
-133.51970	46
-133.48422	128
-133.44858	155
-133.41277	169
-133.37680	122
-133.34066	49
-133.30435	70
-133.26789	56
-133.23125	100
-133.19445	106
-133.15748	160
-133.12035	182
-133.08306	300
-133.04560	490
-133.00797	722
-132.97018	945
-132.93222	1137
-132.89410	1339
-132.85581	1450
-132.81735	1531
-132.77874	1589
-132.73995	1613
-132.70100	1625
-132.66189	1606
-132.62261	1591
-132.58316	1530
-132.54355	1461
-132.50377	1369
-132.46383	1292
-132.42373	1214
-132.38345	1173
-132.34302	1123
-132.30241	1043
-132.26165	956
-132.22071	842
-132.17961	713
-132.13835	623
-132.09692	480
-132.05532	391
-132.01356	271
-131.97164	197
-131.92955	145
-131.88729	103
-131.84487	105
-131.80228	108
-131.75953	136
-131.71661	187
-131.67353	260
-131.63028	328
-131.58687	387
-131.54329	440
-131.49955	499
-131.45564	538
-131.41156	597
-131.36732	649
-131.32292	704
-131.27835	752
-131.23361	810
-131.18871	904
-131.14364	981
-131.09841	1066
-131.05302	1118
-131.00745	1162
-130.96172	1199
-130.91583	1205
-130.86977	1192
-130.82355	1153
-130.77716	1102
-130.73061	1047
-130.68389	951
-130.63700	867
-130.58995	752
-130.54273	694
-130.49535	604
-130.44781	573
-130.40009	515
-130.35222	503
-130.30417	493
-130.25597	478
-130.20759	498
-130.15906	498
-130.11035	514
-130.06148	509
-130.01245	542
-129.96325	537
-129.91388	553
-129.86435	552
-129.81466	570
-129.76480	589
-129.71477	613
-129.66458	662
-129.61422	689
-129.56370	730
-129.51301	768
-129.46216	805
-129.41114	881
-129.35996	942
-129.30861	970
-129.25709	951
-129.20541	957
-129.15357	950
-129.10156	951
-129.04938	942
-128.99704	931
-128.94453	926
-128.89186	911
-128.83903	932
-128.78602	907
-128.73286	935
-128.67952	926
-128.62602	955
-128.57236	917
-128.51853	908
-128.46454	841
-128.41038	787
-128.35605	756
-128.30156	716
-128.24691	688
-128.19209	659
-128.13710	653
-128.08195	632
-128.02663	652
-127.97115	635
-127.91550	648
-127.85969	658
-127.80371	680
-127.74757	711
-127.69126	727
-127.63478	743
-127.57815	741
-127.52134	746
-127.46437	740
-127.40724	726
-127.34993	711
-127.29247	694
-127.23484	685
-127.17704	664
-127.11908	655
-127.06095	646
-127.00266	644
-126.94420	629
-126.88558	636
-126.82679	636
-126.76783	632
-126.70871	612
-126.64943	620
-126.58998	617
-126.53036	614
-126.47058	606
-126.41064	609
-126.35053	616
-126.29025	623
-126.22981	643
-126.16920	634
-126.10843	669
-126.04749	687
-125.98639	703
-125.92512	725
-125.86368	740
-125.80208	765
-125.74032	777
-125.67839	800
-125.61630	807
-125.55403	820
-125.49161	819
-125.42902	837
-125.36626	842
-125.30334	842
-125.24025	860
-125.17700	865
-125.11358	870
-125.05000	881
-124.98625	885
-124.92234	886
-124.85826	874
-124.79401	885
-124.72960	864
-124.66503	848
-124.60029	828
-124.53538	810
-124.47031	780
-124.40507	744
-124.33967	760
-124.27410	718
-124.20837	702
-124.14247	682
-124.07641	666
-124.01018	666
-123.94379	642
-123.87723	643
-123.81051	630
-123.74362	630
-123.67656	624
-123.60934	629
-123.54196	623
-123.47440	617
-123.40669	624
-123.33881	614
-123.27076	636
-123.20255	631
-123.13417	643
-123.06563	658
-122.99692	652
-122.92804	671
-122.85901	683
-122.78980	699
-122.72043	698
-122.65090	713
-122.58120	711
-122.51133	716
-122.44130	726
-122.37110	726
-122.30074	731
-122.23022	718
-122.15952	726
-122.08867	735
-122.01764	735
-121.94645	747
-121.87510	730
-121.80358	746
