MZ	Intensity
-135.90961	731
-135.88802	723
-135.86627	712
-135.84434	651
-135.82226	548
-135.80001	141
-135.77759	122
-135.75501	105
-135.73226	1
-135.70935	0
-135.68627	0
-135.66303	0
-135.63962	175
-135.61604	592
-135.59230	1485
-135.56840	2071
-135.54433	1876
-135.52009	1238
-135.49569	1931
-135.47113	1345
-135.44639	1126
-135.42150	23
-135.39643	785
-135.37121	39
-135.34581	727
-135.32026	1459
-135.29453	2424
-135.26864	1936
-135.24259	1543
-135.21637	1774
-135.18999	1255
-135.16344	1009
-135.13672	391
-135.10984	1171
-135.08279	743
-135.05558	948
-135.02821	153
-135.00066	156
-134.97296	2
-134.94508	164
-134.91705	462
-134.88884	1090
-134.86047	1218
-134.83194	1081
-134.80324	860
-134.77438	582
-134.74535	560
-134.71615	167
-134.68679	123
-134.65726	2
-134.62757	56
-134.59772	152
-134.56769	478
-134.53751	581
-134.50715	811
-134.47664	885
-134.44595	1040
-134.41510	992
-134.38409	1002
-134.35291	694
-134.32157	409
-134.29006	364
-134.25838	441
-134.22654	609
-134.19454	715
-134.16236	965
-134.13003	1100
-134.09753	1272
-134.06486	1577
-134.03203	1842
-133.99903	2009
-133.96587	1900
-133.93254	1813
-133.89904	1577
-133.86538	1378
-133.83156	1055
-133.79757	737
-133.76342	443
-133.72910	161
-133.69461	43
-133.65996	4
-133.62514	18
-133.59016	6
-133.55501	13
-133.51970	49
-133.48422	122
-133.44858	168
-133.41277	152
-133.37680	123
-133.34066	41
-133.30435	66
-133.26789	69
-133.23125	100
-133.19445	110
-133.15748	157
-133.12035	186
-133.08306	305
-133.04560	485
-133.00797	722
-132.97018	963
-132.93222	1139
-132.89410	1326
-132.85581	1449
-132.81735	1548
-132.77874	1589
-132.73995	1622
-132.70100	1622
-132.66189	1616
-132.62261	1594
-132.58316	1524
-132.54355	1468
-132.50377	1362
-132.46383	1284
-132.42373	1210
-132.38345	1168
-132.34302	1128
-132.30241	1054
-132.26165	953
-132.22071	846
-132.17961	726
-132.13835	606
-132.09692	502
-132.05532	377
-132.01356	272
-131.97164	176
-131.92955	151
-131.88729	90
-131.84487	100
-131.80228	85
-131.75953	149
-131.71661	191
-131.67353	247
-131.63028	333
-131.58687	385
-131.54329	435
-131.49955	484
-131.45564	529
-131.41156	591
-131.36732	648
-131.32292	690
-131.27835	748
-131.23361	809
-131.18871	897
-131.14364	983
-131.09841	1058
-131.05302	1120
-131.00745	1185
-130.96172	1202
-130.91583	1213
-130.86977	1188
-130.82355	1165
-130.77716	1108
-130.73061	1050
-130.68389	963
-130.63700	866
-130.58995	781
-130.54273	684
-130.49535	621
-130.44781	555
-130.40009	539
-130.35222	493
-130.30417	510
-130.25597	474
-130.20759	487
-130.15906	483
-130.11035	507
-130.06148	516
-130.01245	540
-129.96325	537
-129.91388	551
-129.86435	547
-129.81466	559
-129.76480	602
-129.71477	624
-129.66458	661
-129.61422	692
-129.56370	729
-129.51301	771
-129.46216	801
-129.41114	873
-129.35996	956
-129.30861	970
-129.25709	949
-129.20541	947
-129.15357	948
-129.10156	959
-129.04938	931
-128.99704	923
-128.94453	922
-128.89186	922
-128.83903	921
-128.78602	903
-128.73286	911
-128.67952	940
-128.62602	938
-128.57236	923
-128.51853	892
-128.46454	826
-128.41038	786
-128.35605	757
-128.30156	713
-128.24691	695
-128.19209	656
-128.13710	643
-128.08195	646
-128.02663	631
-127.97115	654
-127.91550	637
-127.85969	650
-127.80371	684
