MZ	Intensity
-135.90961	725
-135.88802	712
-135.86627	721
-135.84434	660
-135.82226	538
-135.80001	188
-135.77759	145
-135.75501	108
-135.73226	3
-135.70935	0
-135.68627	0
-135.66303	0
-135.63962	131
-135.61604	554
-135.59230	1407
-135.56840	2049
-135.54433	1940
-135.52009	1260
-135.49569	1890
-135.47113	1430
-135.44639	1197
-135.42150	29
-135.39643	668
-135.37121	84
-135.34581	648
-135.32026	1456
-135.29453	2319
-135.26864	2043
-135.24259	1481
-135.21637	1859
-135.18999	1194
-135.16344	1049
-135.13672	303
-135.10984	1151
-135.08279	704
-135.05558	982
-135.02821	172
-135.00066	200
-134.97296	3
-134.94508	154
-134.91705	455
-134.88884	1097
-134.86047	1230
-134.83194	1078
-134.80324	870
-134.77438	590
-134.74535	531
-134.71615	153
-134.68679	107
-134.65726	8
-134.62757	37
-134.59772	162
-134.56769	494
-134.53751	629
-134.50715	842
-134.47664	907
-134.44595	1058
-134.41510	1003
-134.38409	999
-134.35291	666
-134.32157	389
-134.29006	323
-134.25838	398
-134.22654	592
-134.19454	713
-134.16236	965
-134.13003	1101
-134.09753	1259
-134.06486	1565
-134.03203	1828
-133.99903	1985
-133.96587	1874
-133.93254	1795
-133.89904	1550
-133.86538	1399
-133.83156	1047
-133.79757	767
-133.76342	453
-133.72910	188
-133.69461	75
-133.65996	9
-133.62514	22
-133.59016	13
-133.55501	18
-133.51970	35
-133.48422	120
-133.44858	164
-133.41277	151
-133.37680	123
-133.34066	54
-133.30435	60
-133.26789	62
-133.23125	98
-133.19445	114
-133.15748	150
-133.12035	186
-133.08306	298
-133.04560	474
-133.00797	704
-132.97018	914
-132.93222	1120
-132.89410	1306
-132.85581	1447
-132.81735	1527
-132.77874	1590
-132.73995	1621
-132.70100	1618
-132.66189	1616
-132.62261	1598
-132.58316	1546
-132.54355	1454
-132.50377	1360
-132.46383	1284
-132.42373	1222
-132.38345	1171
-132.34302	1127
-132.30241	1071
-132.26165	985
-132.22071	854
-132.17961	739
-132.13835	635
-132.09692	506
-132.05532	391
-132.01356	268
-131.97164	206
-131.92955	135
-131.88729	100
-131.84487	91
-131.80228	107
-131.75953	130
-131.71661	177
-131.67353	247
-131.63028	318
-131.58687	383
-131.54329	423
-131.49955	480
-131.45564	541
-131.41156	573
-131.36732	642
-131.32292	687
-131.27835	753
-131.23361	822
-131.18871	899
-131.14364	991
-131.09841	1085
-131.05302	1139
-131.00745	1184
-130.96172	1237
-130.91583	1216
-130.86977	1218
-130.82355	1178
-130.77716	1146
-130.73061	1064
-130.68389	983
-130.63700	912
-130.58995	780
-130.54273	704
-130.49535	614
-130.44781	571
-130.40009	531
-130.35222	503
-130.30417	511
-130.25597	480
-130.20759	495
-130.15906	491
-130.11035	515
-130.06148	510
-130.01245	531
-129.96325	528
-129.91388	551
-129.86435	555
-129.81466	563
-129.76480	586
-129.71477	607
-129.66458	659
-129.61422	677
-129.56370	730
-129.51301	767
-129.46216	842
-129.41114	870
-129.35996	912
-129.30861	947
-129.25709	961
-129.20541	957
-129.15357	950
-129.10156	974
-129.04938	921
-128.99704	955
-128.94453	934
-128.89186	960
-128.83903	919
-128.78602	954
-128.73286	962
-128.67952	1009
-128.62602	979
-128.57236	988
-128.51853	911
-128.46454	898
-128.41038	811
-128.35605	788
-128.30156	710
-128.24691	709
-128.19209	667
-128.13710	649
-128.08195	659
-128.02663	632
-127.97115	654
-127.91550	639
-127.85969	670
-127.80371	660
-127.74757	696
-127.69126	733
-127.63478	723
-127.57815	747
-127.52134	731
-127.46437	752
-127.40724	717
-127.34993	723
-127.29247	710
-127.23484	685
-127.17704	673
-127.11908	663
-127.06095	647
-127.00266	645
-126.94420	637
-126.88558	631
-126.82679	640
-126.76783	622
-126.70871	620
-126.64943	623
-126.58998	611
-126.53036	609
-126.47058	603
-126.41064	612
-126.35053	614
-126.29025	628
-126.22981	635
-126.16920	644
-126.10843	673
-126.04749	690
-125.98639	709
-125.92512	733
-125.86368	752
-125.80208	769
-125.74032	787
-125.67839	810
-125.61630	812
-125.55403	820
-125.49161	845
-125.42902	825
-125.36626	845
-125.30334	859
-125.24025	870
-125.17700	864
-125.11358	881
-125.05000	892
-124.98625	879
-124.92234	898
-124.85826	873
-124.79401	885
-124.72960	872
-124.66503	859
-124.60029	832
-124.53538	815
-124.47031	791
-124.40507	762
-124.33967	744
-124.27410	705
-124.20837	713
-124.14247	687
-124.07641	672
-124.01018	661
-123.94379	651
-123.87723	639
-123.81051	632
-123.74362	642
-123.67656	632
-123.60934	619
-123.54196	620
-123.47440	621
-123.40669	624
-123.33881	615
-123.27076	638
-123.20255	632
-123.13417	639
-123.06563	650
-122.99692	662
-122.92804	688
-122.85901	680
-122.78980	691
-122.72043	707
-122.65090	709
-122.58120	719
-122.51133	712
-122.44130	726
-122.37110	722
-122.30074	739
-122.23022	726
-122.15952	745
-122.08867	736
-122.01764	749
-121.94645	732
-121.87510	743
-121.80358	747
-121.73190	734
-121.66005	750
-121.58803	743
-121.51585	741
-121.44351	729
-121.37100	732
-121.29832	714
-121.22548	731
-121.15247	713
-121.07930	728
-121.00596	711
-120.93246	716
-120.85879	713
-120.78496	725
-120.71096	714
-120.63680	715
-120.56247	716
-120.48797	715
-120.41331	731
-120.33849	712
-120.26350	715
-120.18834	723
-120.11302	710
-120.03753	741
-119.96188	723
-119.88606	739
-119.81008	716
-119.73393	740
-119.65762	734
-119.58114	742
-119.50450	746
-119.42769	757
-119.35071	757
-119.27357	751
-119.19627	765
-119.11880	765
-119.04116	765
-118.96336	761
-118.88539	759
-118.80726	752
-118.72896	745
-118.65050	743
-118.57187	746
-118.49308	736
-118.41412	727
-118.33500	726
-118.25571	721
-118.17625	714
-118.09663	713
-118.01685	709
-117.93690	697
-117.85678	697
-117.77650	697
-117.69606	686
-117.61544	687
-117.53467	688
-117.45372	674
-117.37262	678
-117.29134	677
-117.20991	671
-117.12830	671
-117.04653	656
-116.96460	667
-116.88250	662
-116.80023	659
-116.71780	675
-116.63521	661
-116.55245	670
-116.46952	671
-116.38643	672
-116.30317	670
-116.21975	673
-116.13616	682
-116.05241	685
-115.96849	698
-115.88441	698
-115.80016	707
-115.71574	704
-115.63116	714
-115.54642	728
-115.46151	717
-115.37643	734
-115.29119	733
-115.20579	744
-115.12021	748
-115.03448	738
-114.94857	772
-114.86251	741
-114.77627	775
-114.68988	747
-114.60331	777
-114.51658	753
-114.42969	771
-114.34263	756
-114.25540	759
-114.16801	770
-114.08046	764
-113.99274	768
-113.90485	755
-113.81680	770
-113.72858	762
-113.64020	756
-113.55165	748
-113.46294	761
-113.37406	751
-113.28502	742
-113.19581	737
-113.10644	749
-113.01690	731
-112.92719	736
-112.83732	730
-112.74729	725
-112.65709	717
-112.56672	719
-112.47619	724
-112.38549	706
-112.29463	717
-112.20360	718
-112.11241	710
-112.02105	707
-111.92953	694
-111.83784	700
-111.74599	703
-111.65397	703
-111.56178	717
-111.46943	696
-111.37692	725
-111.28424	722
-111.19139	750
-111.09838	738
-111.00520	770
-110.91186	796
-110.81835	774
-110.72468	794
-110.63084	783
-110.53684	783
-110.44267	779
-110.34834	816
-110.25384	839
-110.15917	866
-110.06434	940
-109.96935	997
-109.87419	1059
-109.77886	1117
-109.68337	1239
-109.58772	1277
-109.49189	1370
-109.39591	1391
-109.29975	1537
-109.20344	1817
-109.10695	2369
-109.01030	3374
-108.91349	4656
-108.81651	5994
-108.71937	7382
-108.62206	8429
-108.52458	9447
-108.42694	9812
-108.32914	9847
-108.23117	9631
-108.13303	8997
-108.03473	8360
-107.93626	7410
-107.83763	6526
-107.73883	5567
-107.63987	4869
-107.54074	4283
-107.44144	3709
-107.34199	3399
-107.24236	3159
-107.14257	2984
-107.04262	2754
-106.94250	2515
-106.84221	2410
-106.74176	2210
-106.64114	2067
-106.54036	1960
-106.43942	1855
-106.33830	1793
-106.23703	1774
-106.13558	1795
-106.03397	1743
-105.93220	1776
-105.83026	1997
-105.72816	2305
-105.62589	2516
-105.52345	3535
-105.42085	6015
-105.31809	7352
-105.21516	7483
-105.11206	7110
-105.00880	6446
-104.90537	5621
-104.80178	4823
-104.69802	4078
-104.59410	3481
-104.49001	2982
-104.38576	2621
-104.28134	2394
-104.17676	2280
-104.07201	2342
-103.96709	2362
-103.86201	2413
-103.75677	2286
-103.65135	2264
-103.54578	2178
-103.44004	2139
-103.33413	2021
-103.22806	1964
-103.12182	1891
-103.01542	1808
-102.90885	1794
-102.80212	1779
-102.69522	1737
-102.58815	1712
-102.48093	1699
-102.37353	1639
-102.26597	1645
-102.15825	1664
-102.05035	1607
-101.94230	1584
-101.83408	1509
-101.72569	1548
-101.61714	1493
-101.50842	1487
-101.39954	1452
-101.29049	1452
-101.18128	1416
-101.07190	1413
-100.96236	1412
-100.85265	1388
-100.74277	1356
-100.63273	1342
-100.52253	1371
-100.41216	1326
-100.30162	1330
-100.19092	1323
-100.08005	1338
-99.96902	1324
-99.85782	1336
-99.74646	1361
-99.63493	1370
-99.52324	1474
-99.41138	1972
-99.29936	2609
-99.18717	2479
-99.07481	2089
-98.96229	1903
-98.84961	2015
-98.73676	2201
-98.62374	2353
-98.51056	2424
-98.39722	2547
-98.28370	2547
-98.17003	2665
-98.05618	2744
-97.94218	2942
-97.82800	2995
-97.71366	3057
-97.59916	3208
-97.48449	3318
-97.36966	3343
-97.25466	3407
-97.13949	3368
-97.02416	3390
-96.90867	3319
-96.79301	3292
-96.67718	3317
-96.56119	3391
-96.44503	3277
-96.32871	3248
-96.21222	3265
-96.09557	3084
-95.97875	3035
-95.86177	2986
-95.74462	2972
-95.62730	2801
-95.50982	2732
-95.39218	2610
-95.27437	2607
-95.15639	2516
-95.03825	2516
-94.91995	2455
-94.80147	2487
-94.68284	2589
-94.56404	2650
-94.44507	2822
-94.32594	3049
-94.20664	3347
-94.08717	3729
-93.96754	4078
-93.84775	4386
-93.72779	4694
-93.60767	5137
-93.48738	5542
-93.36692	6008
-93.24630	6520
-93.12551	7539
-93.00456	8700
-92.88345	9765
-92.76216	10149
-92.64072	10350
-92.51910	10391
-92.39733	10051
-92.27538	9823
-92.15327	9455
-92.03100	8780
-91.90856	8177
-91.78596	7476
-91.66319	7012
-91.54025	6716
-91.41715	6545
-91.29388	6605
-91.17045	7087
-91.04686	7759
-90.92309	8485
-90.79917	9174
-90.67507	10136
-90.55082	11364
-90.42639	12329
-90.30180	12851
-90.17705	13285
-90.05213	13685
-89.92705	13639
-89.80180	13597
-89.67638	13255
-89.55080	12873
-89.42505	12471
-89.29914	12122
-89.17307	11555
-89.04682	11145
-88.92042	11484
-88.79384	12391
-88.66711	13288
-88.54020	13572
-88.41314	13374
-88.28590	13009
-88.15850	12418
-88.03094	11847
-87.90321	10939
-87.77531	10315
-87.64725	9670
-87.51903	9045
-87.39064	8456
-87.26208	7752
-87.13336	7111
-87.00447	6557
-86.87542	6362
-86.74620	6078
-86.61682	5829
-86.48727	5432
-86.35755	5307
-86.22768	5241
-86.09763	5041
-85.96742	4983
-85.83705	5012
-85.70651	4794
-85.57580	4786
-85.44493	4658
-85.31389	4538
-85.18269	4212
-85.05132	4163
-84.91979	4060
-84.78809	4043
-84.65623	4065
-84.52420	4028
-84.39201	4127
-84.25965	4144
-84.12713	4158
-83.99444	4162
-83.86158	4099
-83.72856	3919
-83.59538	3751
-83.46203	3609
-83.32851	3487
-83.19483	3362
-83.06098	3403
-82.92697	3354
-82.79279	3364
-82.65845	3308
-82.52394	3255
-82.38927	3240
-82.25443	3261
-82.11942	3257
-81.98425	3302
-81.84892	3385
-81.71342	3482
-81.57775	3586
-81.44192	3843
-81.30593	3939
-81.16977	4118
-81.03344	4211
-80.89695	4092
-80.76029	4109
-80.62347	4016
-80.48648	4207
-80.34932	4710
-80.21201	5580
-80.07452	6340
-79.93687	6864
-79.79906	10266
-79.66108	13834
-79.52293	15050
-79.38462	14911
-79.24615	14032
-79.10750	13389
-78.96870	13371
-78.82973	13361
-78.69059	13377
-78.55129	13457
-78.41182	13735
-78.27218	14259
-78.13239	14702
-77.99242	14697
-77.85229	14714
-77.71200	14695
-77.57154	14712
-77.43091	14680
-77.29012	14678
-77.14917	14675
-77.00804	14495
-76.86676	14356
-76.72531	14298
-76.58369	14459
-76.44191	14331
-76.29996	14272
-76.15785	14137
-76.01557	14050
-75.87312	13876
-75.73051	13753
-75.58774	13736
-75.44480	13722
-75.30169	13691
-75.15842	14043
-75.01499	14241
-74.87139	13971
-74.72762	13748
-74.58369	13555
-74.43959	13334
-74.29533	13266
-74.15090	13300
-74.00631	13268
-73.86155	13189
-73.71663	13355
-73.57154	13470
-73.42628	13409
-73.28086	13579
-73.13528	13485
-72.98953	13562
-72.84361	13653
-72.69753	13500
-72.55128	13681
-72.40487	14403
-72.25830	14963
-72.11155	15071
-71.96465	14857
-71.81757	14685
-71.67033	14567
-71.52293	14520
-71.37536	14551
-71.22763	14560
-71.07973	14661
-70.93166	14771
-70.78343	14774
-70.63504	14717
-70.48648	14689
-70.33775	14719
-70.18886	14660
-70.03980	14508
-69.89058	14392
-69.74119	14338
-69.59164	14161
-69.44192	14091
-69.29204	13999
-69.14199	13898
-68.99177	13697
-68.84139	13506
-68.69085	13210
-68.54014	12914
-68.38926	12497
-68.23822	12222
-68.08702	11859
-67.93565	11418
-67.78411	10950
-67.63241	10823
-67.48054	10800
-67.32851	10534
-67.17631	10417
-67.02394	10484
-66.87142	10455
-66.71872	10345
-66.56586	10012
-66.41284	9960
-66.25965	9852
-66.10629	9838
-65.95277	9901
-65.79909	9937
-65.64523	9921
-65.49122	10054
-65.33703	10414
-65.18269	11035
-65.02817	11964
-64.87350	12738
-64.71865	13195
-64.56364	13527
-64.40847	13820
-64.25313	13978
-64.09763	14084
-63.94196	14281
-63.78612	14321
-63.63012	14421
-63.47396	14515
-63.31762	14598
-63.16113	14513
-63.00447	14445
-62.84764	14362
-62.69065	14312
-62.53349	14248
-62.37616	14215
-62.21868	14171
-62.06102	14193
-61.90320	14183
-61.74522	14241
-61.58707	14366
-61.42875	14453
-61.27027	14594
-61.11163	14689
-60.95282	14633
-60.79384	14643
-60.63470	14537
-60.47539	14490
-60.31592	14349
-60.15628	14275
-59.99648	14163
-59.83651	14199
-59.67637	14191
-59.51608	14121
-59.35561	14119
-59.19498	14247
-59.03419	14378
-58.87323	14498
-58.71210	14648
-58.55081	14923
-58.38935	14978
-58.22773	15178
-58.06594	15454
-57.90399	15608
-57.74187	15516
-57.57959	15627
-57.41714	15785
-57.25453	15594
-57.09175	15278
-56.92881	15023
-56.76570	14975
-56.60242	14836
-56.43898	14721
-56.27537	14579
-56.11160	14536
-55.94767	14392
-55.78357	14362
-55.61930	14235
-55.45487	14191
-55.29027	14139
-55.12551	13962
-54.96058	14147
-54.79548	14544
-54.63023	14766
-54.46480	14889
-54.29921	14688
-54.13346	14353
-53.96754	14130
-53.80145	13904
-53.63520	13632
-53.46878	13423
-53.30220	13193
-53.13546	12996
-52.96854	12869
-52.80147	12690
-52.63422	12405
-52.46682	12406
-52.29924	12497
-52.13150	12540
-51.96360	12334
-51.79553	12169
-51.62729	12074
-51.45889	12288
-51.29033	12462
-51.12160	12726
-50.95270	12839
-50.78364	12924
-50.61441	13046
-50.44502	13250
-50.27546	13352
-50.10574	13403
-49.93585	13589
-49.76580	13733
-49.59558	13911
-49.42520	14095
-49.25465	14132
-49.08393	14196
-48.91305	14134
-48.74201	14071
-48.57080	14120
-48.39942	14102
-48.22788	14176
-48.05617	14128
-47.88430	14137
-47.71226	14278
-47.54006	14366
-47.36769	14524
-47.19516	14672
-47.02246	14770
-46.84960	14777
-46.67657	14713
-46.50337	14622
-46.33001	14516
-46.15649	14481
-45.98280	14518
-45.80894	14563
-45.63492	14574
-45.46074	14554
-45.28638	14571
-45.11187	14598
-44.93718	14618
-44.76234	14647
-44.58732	14639
-44.41214	14617
-44.23680	14576
-44.06129	14545
-43.88562	14526
-43.70978	14499
-43.53377	14513
-43.35760	14357
-43.18127	14348
-43.00476	14389
-42.82810	14392
-42.65127	14371
-42.47427	14454
