MZ	Intensity
-135.90961	717
-135.88802	727
-135.86627	718
-135.84434	661
-135.82226	536
-135.80001	182
-135.77759	148
-135.75501	116
-135.73226	0
-135.70935	0
-135.68627	0
-135.66303	0
-135.63962	129
-135.61604	564
-135.59230	1442
-135.56840	2071
-135.54433	1946
-135.52009	1265
-135.49569	1910
-135.47113	1417
-135.44639	1149
-135.42150	19
-135.39643	626
-135.37121	79
-135.34581	635
-135.32026	1467
-135.29453	2338
-135.26864	2117
-135.24259	1511
-135.21637	1880
-135.18999	1173
-135.16344	1034
-135.13672	249
-135.10984	1125
-135.08279	668
-135.05558	971
-135.02821	168
-135.00066	248
-134.97296	1
-134.94508	213
-134.91705	498
-134.88884	1105
-134.86047	1226
-134.83194	1096
-134.80324	847
-134.77438	554
-134.74535	510
-134.71615	134
-134.68679	76
-134.65726	2
-134.62757	52
-134.59772	179
-134.56769	521
-134.53751	652
-134.50715	870
-134.47664	943
-134.44595	1069
-134.41510	1003
-134.38409	968
-134.35291	637
-134.32157	352
-134.29006	286
-134.25838	394
-134.22654	590
-134.19454	725
-134.16236	985
-134.13003	1144
-134.09753	1283
-134.06486	1584
-134.03203	1826
-133.99903	1969
-133.96587	1857
-133.93254	1763
-133.89904	1532
-133.86538	1378
-133.83156	1041
-133.79757	758
-133.76342	478
-133.72910	214
-133.69461	79
-133.65996	22
-133.62514	25
-133.59016	16
-133.55501	17
-133.51970	62
-133.48422	95
-133.44858	165
-133.41277	152
-133.37680	130
-133.34066	49
-133.30435	61
-133.26789	72
-133.23125	110
-133.19445	123
-133.15748	150
-133.12035	187
-133.08306	293
-133.04560	479
-133.00797	698
-132.97018	920
-132.93222	1129
-132.89410	1300
-132.85581	1447
-132.81735	1535
-132.77874	1606
-132.73995	1609
-132.70100	1618
-132.66189	1622
-132.62261	1587
-132.58316	1541
-132.54355	1451
-132.50377	1369
-132.46383	1271
-132.42373	1224
-132.38345	1183
-132.34302	1147
-132.30241	1084
-132.26165	995
-132.22071	868
-132.17961	740
-132.13835	631
-132.09692	510
-132.05532	385
-132.01356	271
-131.97164	189
-131.92955	149
-131.88729	97
-131.84487	118
-131.80228	100
-131.75953	146
-131.71661	194
-131.67353	244
-131.63028	327
-131.58687	367
-131.54329	435
-131.49955	473
-131.45564	525
-131.41156	568
-131.36732	641
-131.32292	681
-131.27835	749
-131.23361	815
-131.18871	886
-131.14364	992
-131.09841	1076
-131.05302	1136
-131.00745	1186
-130.96172	1206
-130.91583	1241
-130.86977	1211
-130.82355	1180
-130.77716	1145
-130.73061	1062
-130.68389	996
-130.63700	890
-130.58995	810
-130.54273	711
-130.49535	622
-130.44781	578
-130.40009	531
-130.35222	505
-130.30417	498
-130.25597	498
-130.20759	469
-130.15906	507
-130.11035	497
-130.06148	516
-130.01245	522
-129.96325	549
-129.91388	541
-129.86435	548
-129.81466	555
-129.76480	585
-129.71477	614
-129.66458	650
-129.61422	702
-129.56370	713
-129.51301	777
-129.46216	821
-129.41114	885
-129.35996	921
-129.30861	955
-129.25709	970
-129.20541	965
-129.15357	970
-129.10156	985
-129.04938	935
-128.99704	967
-128.94453	916
-128.89186	993
-128.83903	927
-128.78602	1007
-128.73286	920
-128.67952	1022
-128.62602	941
-128.57236	979
-128.51853	871
-128.46454	866
-128.41038	795
-128.35605	766
-128.30156	725
-128.24691	692
-128.19209	670
-128.13710	637
-128.08195	649
-128.02663	626
-127.97115	661
-127.91550	646
-127.85969	659
-127.80371	667
-127.74757	687
-127.69126	726
-127.63478	735
-127.57815	755
-127.52134	732
-127.46437	738
-127.40724	730
-127.34993	713
-127.29247	699
-127.23484	678
-127.17704	676
-127.11908	669
-127.06095	645
-127.00266	641
-126.94420	637
-126.88558	639
-126.82679	624
-126.76783	642
-126.70871	611
-126.64943	632
-126.58998	620
-126.53036	614
-126.47058	621
-126.41064	602
-126.35053	630
-126.29025	611
-126.22981	641
-126.16920	634
-126.10843	680
-126.04749	675
-125.98639	708
-125.92512	729
-125.86368	737
-125.80208	769
-125.74032	791
-125.67839	801
-125.61630	808
-125.55403	819
-125.49161	816
-125.42902	840
-125.36626	832
-125.30334	847
-125.24025	875
-125.17700	858
-125.11358	899
-125.05000	880
-124.98625	901
-124.92234	882
-124.85826	889
-124.79401	888
-124.72960	874
-124.66503	869
-124.60029	821
-124.53538	813
-124.47031	788
-124.40507	777
-124.33967	743
-124.27410	715
-124.20837	710
-124.14247	679
-124.07641	684
-124.01018	667
-123.94379	648
-123.87723	650
-123.81051	634
-123.74362	631
-123.67656	642
-123.60934	616
-123.54196	619
-123.47440	615
-123.40669	622
-123.33881	625
-123.27076	628
-123.20255	627
-123.13417	639
-123.06563	662
-122.99692	662
-122.92804	673
-122.85901	683
-122.78980	697
-122.72043	696
-122.65090	710
-122.58120	718
-122.51133	733
-122.44130	729
-122.37110	733
-122.30074	731
-122.23022	735
-122.15952	745
-122.08867	734
-122.01764	751
-121.94645	739
-121.87510	742
-121.80358	742
-121.73190	754
-121.66005	743
-121.58803	740
-121.51585	727
-121.44351	734
-121.37100	724
-121.29832	728
-121.22548	721
-121.15247	720
-121.07930	710
-121.00596	721
-120.93246	705
-120.85879	711
-120.78496	709
-120.71096	710
-120.63680	711
-120.56247	714
-120.48797	713
-120.41331	729
-120.33849	709
-120.26350	733
-120.18834	703
-120.11302	738
-120.03753	719
-119.96188	733
-119.88606	726
-119.81008	739
-119.73393	728
-119.65762	737
-119.58114	746
-119.50450	745
-119.42769	748
-119.35071	766
-119.27357	766
-119.19627	774
-119.11880	752
-119.04116	779
-118.96336	753
-118.88539	768
-118.80726	754
-118.72896	754
-118.65050	749
-118.57187	735
-118.49308	739
-118.41412	729
-118.33500	730
-118.25571	718
-118.17625	714
-118.09663	715
-118.01685	707
-117.93690	712
-117.85678	696
-117.77650	701
-117.69606	690
-117.61544	693
-117.53467	692
-117.45372	687
-117.37262	673
-117.29134	683
-117.20991	667
-117.12830	684
-117.04653	659
-116.96460	675
-116.88250	667
-116.80023	667
-116.71780	668
-116.63521	667
-116.55245	669
-116.46952	665
-116.38643	670
-116.30317	679
-116.21975	674
-116.13616	682
-116.05241	696
-115.96849	700
-115.88441	695
-115.80016	711
-115.71574	704
-115.63116	718
-115.54642	725
-115.46151	731
-115.37643	739
-115.29119	739
-115.20579	749
-115.12021	746
-115.03448	751
-114.94857	748
-114.86251	758
-114.77627	755
-114.68988	758
-114.60331	767
-114.51658	762
-114.42969	758
-114.34263	762
-114.25540	768
-114.16801	761
-114.08046	769
-113.99274	762
-113.90485	770
-113.81680	766
-113.72858	765
-113.64020	761
-113.55165	757
-113.46294	757
-113.37406	751
-113.28502	746
-113.19581	747
-113.10644	736
-113.01690	735
-112.92719	724
-112.83732	724
-112.74729	704
-112.65709	723
-112.56672	720
-112.47619	736
-112.38549	699
-112.29463	710
-112.20360	707
-112.11241	707
-112.02105	713
-111.92953	700
-111.83784	709
-111.74599	703
-111.65397	721
-111.56178	707
-111.46943	727
-111.37692	717
-111.28424	735
-111.19139	766
-111.09838	762
-111.00520	786
-110.91186	776
-110.81835	794
-110.72468	778
-110.63084	796
-110.53684	801
-110.44267	834
-110.34834	850
-110.25384	877
-110.15917	922
-110.06434	954
-109.96935	1031
-109.87419	1107
-109.77886	1208
-109.68337	1350
-109.58772	1390
-109.49189	1450
-109.39591	1498
-109.29975	1688
-109.20344	2015
-109.10695	2749
-109.01030	3870
-108.91349	5190
-108.81651	7003
-108.71937	8469
-108.62206	9341
-108.52458	9794
-108.42694	9861
-108.32914	9757
-108.23117	9448
-108.13303	8880
-108.03473	8170
-107.93626	7421
-107.83763	6682
-107.73883	5907
-107.63987	5192
-107.54074	4677
-107.44144	4254
-107.34199	3908
-107.24236	3632
-107.14257	3208
-107.04262	2983
-106.94250	2878
-106.84221	2635
-106.74176	2382
-106.64114	2250
-106.54036	2140
-106.43942	2138
-106.33830	2030
-106.23703	1913
-106.13558	1870
-106.03397	1814
-105.93220	1820
-105.83026	1961
-105.72816	2151
-105.62589	2430
-105.52345	3953
-105.42085	6492
-105.31809	7956
-105.21516	7778
-105.11206	7059
-105.00880	6125
-104.90537	5387
-104.80178	4693
-104.69802	3891
-104.59410	3272
-104.49001	2929
-104.38576	2651
-104.28134	2389
-104.17676	2347
-104.07201	2433
-103.96709	2449
-103.86201	2404
-103.75677	2304
-103.65135	2252
-103.54578	2188
-103.44004	2117
-103.33413	2074
-103.22806	2018
-103.12182	1974
-103.01542	1910
-102.90885	1910
-102.80212	1830
-102.69522	1780
-102.58815	1756
-102.48093	1736
-102.37353	1719
-102.26597	1747
-102.15825	1710
-102.05035	1659
-101.94230	1659
-101.83408	1616
-101.72569	1573
-101.61714	1530
-101.50842	1495
-101.39954	1502
-101.29049	1488
-101.18128	1516
-101.07190	1456
-100.96236	1457
-100.85265	1411
-100.74277	1446
-100.63273	1419
-100.52253	1410
-100.41216	1418
-100.30162	1404
-100.19092	1408
-100.08005	1375
-99.96902	1401
-99.85782	1385
-99.74646	1396
-99.63493	1393
-99.52324	1432
-99.41138	1682
-99.29936	1975
-99.18717	1894
-99.07481	1771
-98.96229	1786
-98.84961	1946
-98.73676	2122
-98.62374	2311
-98.51056	2421
-98.39722	2585
-98.28370	2726
-98.17003	2852
-98.05618	2996
-97.94218	3185
-97.82800	3329
-97.71366	3465
-97.59916	3591
-97.48449	3689
-97.36966	3814
-97.25466	3849
-97.13949	3898
-97.02416	3946
-96.90867	3943
-96.79301	4031
-96.67718	3979
-96.56119	3999
-96.44503	3902
-96.32871	3937
-96.21222	3839
-96.09557	3722
-95.97875	3680
-95.86177	3557
-95.74462	3571
-95.62730	3464
-95.50982	3396
-95.39218	3255
-95.27437	3197
-95.15639	3090
-95.03825	3001
-94.91995	3036
-94.80147	2952
-94.68284	3016
-94.56404	3164
-94.44507	3379
-94.32594	3636
-94.20664	3959
-94.08717	4439
-93.96754	4979
-93.84775	5389
-93.72779	5628
-93.60767	5988
-93.48738	6368
-93.36692	6736
-93.24630	7420
-93.12551	8442
-93.00456	9422
-92.88345	10021
-92.76216	10297
-92.64072	10348
-92.51910	10125
-92.39733	10008
-92.27538	9870
-92.15327	9632
-92.03100	9085
-91.90856	8475
-91.78596	7981
-91.66319	7614
-91.54025	7367
-91.41715	7323
-91.29388	7421
-91.17045	7998
-91.04686	8643
-90.92309	9216
-90.79917	9667
-90.67507	10420
-90.55082	11183
-90.42639	11658
-90.30180	12148
-90.17705	12723
-90.05213	13090
-89.92705	13184
-89.80180	12988
-89.67638	12701
-89.55080	12338
-89.42505	11922
-89.29914	11648
-89.17307	11146
-89.04682	11087
-88.92042	11633
-88.79384	12560
-88.66711	13161
-88.54020	13209
-88.41314	12968
-88.28590	12601
-88.15850	12144
-88.03094	11457
-87.90321	10833
-87.77531	10290
-87.64725	9736
-87.51903	9368
-87.39064	8926
-87.26208	8313
-87.13336	7760
-87.00447	7483
-86.87542	6955
-86.74620	6565
-86.61682	6245
-86.48727	5988
-86.35755	5677
-86.22768	5508
-86.09763	5510
-85.96742	5542
-85.83705	5594
-85.70651	5440
-85.57580	5423
-85.44493	5373
-85.31389	5255
-85.18269	5115
-85.05132	4995
-84.91979	4931
-84.78809	4666
-84.65623	4709
-84.52420	4657
-84.39201	4576
-84.25965	4567
-84.12713	4574
-83.99444	4474
-83.86158	4338
-83.72856	4282
-83.59538	4127
-83.46203	3885
-83.32851	3744
-83.19483	3727
-83.06098	3710
-82.92697	3619
-82.79279	3619
-82.65845	3563
-82.52394	3561
-82.38927	3540
-82.25443	3535
-82.11942	3527
-81.98425	3638
-81.84892	3735
-81.71342	3892
-81.57775	3898
-81.44192	3953
-81.30593	4186
-81.16977	4272
-81.03344	4273
-80.89695	4324
-80.76029	4329
-80.62347	4279
-80.48648	4405
-80.34932	4789
-80.21201	5649
-80.07452	6362
-79.93687	6844
-79.79906	9355
-79.66108	12046
-79.52293	12981
-79.38462	12771
-79.24615	12125
-79.10750	11970
-78.96870	12217
-78.82973	12334
-78.69059	12487
-78.55129	12612
-78.41182	13116
-78.27218	13876
-78.13239	14239
-77.99242	14376
-77.85229	14440
-77.71200	14447
-77.57154	14258
-77.43091	14065
-77.29012	13904
-77.14917	13837
-77.00804	13573
-76.86676	13443
-76.72531	13569
-76.58369	13717
-76.44191	13612
-76.29996	13481
-76.15785	13305
-76.01557	13077
-75.87312	13127
-75.73051	13049
-75.58774	12935
-75.44480	12855
-75.30169	13002
-75.15842	13350
-75.01499	13326
-74.87139	13253
-74.72762	12864
-74.58369	12649
-74.43959	12490
-74.29533	12595
-74.15090	12641
-74.00631	12632
-73.86155	12573
-73.71663	12499
-73.57154	12658
-73.42628	12751
-73.28086	12847
-73.13528	12941
-72.98953	12967
-72.84361	12830
-72.69753	12762
-72.55128	13001
-72.40487	13912
-72.25830	14499
-72.11155	14456
-71.96465	14282
-71.81757	14212
-71.67033	14316
-71.52293	14307
-71.37536	14358
